productId|productTypeId|isVirtual|isVariant|internalName|productName|brandName|productGroup(category)|quantityIncluded|MainUnit(quantityUomId)|altQuantityIncluded|AltUnit(altQuantityUomId)|ConversionFactor
PB0410|FINDIG_GOOD|N|N|Clean Agent 2 Kg|Clean Agent 2 Kg||consumable_items|1|UQC_pcs|||
PB0411|FINDIG_GOOD|N|N|Map 90 Fire Extinguisher 06 Kg Cap Trole|Map 90 Fire Extinguisher 06 Kg Cap Trole||consumable_items|1|UQC_pcs|||
PB0412|FINDIG_GOOD|N|N|CO2 Type Fire Extunguisher 4.5 Kg Cap|CO2 Type Fire Extunguisher 4.5 Kg Cap||consumable_items|1|UQC_pcs|||
PB0413|FINDIG_GOOD|N|N|Map 90 Fire Extingusher 25 Kg Cap Troley|Map 90 Fire Extingusher 25 Kg Cap Troley||consumable_items|1|UQC_pcs|||
PB0414|FINDIG_GOOD|N|N|HiAssorted Biochemical Test Kit HI Media|HiAssorted Biochemical Test Kit HI Media||consumable_items|1|UQC_pcs|||
PB0415|FINDIG_GOOD|N|N|HiBacillus Identification Kit - Hi Media|HiBacillus Identification Kit - Hi Media||consumable_items|1|UQC_pcs|||
PB0416|FINDIG_GOOD|N|N|Alu. Cable 150 Mm 3 Core Armoured 11 KV|Alu. Cable 150 Mm 3 Core Armoured 11 KV||consumable_items|1|UQC_mtr|||
PB0417|FINDIG_GOOD|N|N|1.0 Ton Voltas Split All Weather AC|1.0 Ton Voltas Split All Weather AC||assets|1|UQC_pcs|||
PB0418|FINDIG_GOOD|N|N|Panel Board Electrical (MCCB Panel)|Panel Board Electrical (MCCB Panel)||assets|1|UQC_pcs|||
PB0419|FINDIG_GOOD|N|N|ISMB 300X140 mm|ISMB 300X140 mm||consumable_items|1|UQC_ton|||
PB0420|FINDIG_GOOD|N|N|ISMB 125X70 mm|ISMB 125X70 mm||consumable_items|1|UQC_ton|||
PB0421|FINDIG_GOOD|N|N|ISMC 300x900mm|ISMC 300x900mm||consumable_items|1|UQC_ton|1|UQC_pcs|1
PB0422|FINDIG_GOOD|N|N|ISMC 120x65mm|ISMC 120x65mm||consumable_items|1|UQC_ton|1|UQC_pcs|1
PB0423|FINDIG_GOOD|N|N|5mm Thick MS Chequred Size-1250X6300mm|5mm Thick MS Chequred Size-1250X6300mm||consumable_items|1|UQC_ton|||
PB0424|FINDIG_GOOD|N|N|ISA 50X50X5mm|ISA 50X50X5mm||consumable_items|1|UQC_ton|||
PB0425|FINDIG_GOOD|N|N|MS Round Pipe (1.5)inch (Thk-2mm)|MS Round Pipe (1.5)inch (Thk-2mm)||consumable_items|1|UQC_ton|||
PB0426|FINDIG_GOOD|N|N|16mm Thick MS Plate Size-1250X6000mm|16mm Thick MS Plate Size-1250X6000mm||consumable_items|1|UQC_ton|||
PB0427|FINDIG_GOOD|N|N|Bio Culture|Bio Culture||bio_fertilizer|1|UQC_klr|||
PB0428|FINDIG_GOOD|N|N|The Fertiliser (Control) Order, Latest|The Fertiliser (Control) Order, Latest||consumable_items|1|UQC_pcs|||
PB0429|FINDIG_GOOD|N|N|The Insecticides Act 1968 with Rules1971|The Insecticides Act 1968 with Rules1971||consumable_items|1|UQC_pcs|||
PB0430|FINDIG_GOOD|N|N|Asian Oil Paint Apcolite Enamel White|Asian Oil Paint Apcolite Enamel White||consumable_items|1|UQC_klr|||
PB0431|FINDIG_GOOD|N|N|Golden Yellow Enamel Paint Asian Apcolit|Golden Yellow Enamel Paint Asian Apcolit||consumable_items|1|UQC_klr|||
PB0432|FINDIG_GOOD|N|N|Mineral Oil / Tarpin Oil|Mineral Oil / Tarpin Oil||consumable_items|1|UQC_klr|||
PB0433|FINDIG_GOOD|N|N|Paint Brush 4inch|Paint Brush 4inch||consumable_items|1|UQC_pcs|||
PB0434|FINDIG_GOOD|N|N|Paint Brush 5inch|Paint Brush 5inch||consumable_items|1|UQC_pcs|||
PB0435|FINDIG_GOOD|N|N|I Cards Both Side Print Holder &amp; Dori Pr|I Cards Both Side Print Holder &amp; Dori Pr||consumable_items|1|UQC_pcs|||
PB0436|FINDIG_GOOD|N|N|Office Table ( 4' X 2.5')|Office Table ( 4' X 2.5')||assets|1|UQC_pcs|||
PB0437|FINDIG_GOOD|N|N|Side Table (30X30X16)|Side Table (30X30X16)||assets|1|UQC_pcs|||
PB0438|FINDIG_GOOD|N|N|Garari Penion 6.5 ID|Garari Penion 6.5 ID||consumable_items|1|UQC_pcs|||
